bas_raw,haystack
"CMU/SCSC Gates/Seventh Floor/VAV Room 7205 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7205 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7205 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7207 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Max CO2 Level","max co2"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7208 Project/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7211 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7213 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7215 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7217 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7218 Storage/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7219 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7221 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7223 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Max CO2 Level","max co2"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/ZCO2_HI","zone co2 max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Zone CO2","vav zone air co2 sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7224 Project/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7225 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Run","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Run Request","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Schedule","cmd"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Seventh Floor/VAV Room 7227 Office/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Fan Coil CHW Vlv","fcu fan chilled water valve cmd"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Fan Start","fan cmd"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Fan Status","fan curstatus"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/FANCOIL ALARM","fcu alarm"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/FANCOIL HAND","fcu alarm"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Run","cmd"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/FCU-12 Telecom Room/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6100/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6200/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/PRV Command","vav perimeterHeat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/RH Valve %","vav reheat valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Schedule","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/Zone Temp _ Zone Temp","zone air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/ZTMP HI","zone air temp max"
"CMU/SCSC Gates/Sixth Floor/VAV Corridor 6300 to Hillman/ZTMP LO","zone air temp min"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Airflow","vav air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Airflow Request","air flow cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Airflow Setpoint","vav air flow sp"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Cool Request","vav cool cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Damper Position","vav damper sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Discharge Temp","vav discharge air temp sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Flow Control _ Flow Input","air flow sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Heat Request","vav heat cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/HWV Command","vav hot water valve cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/OCC Sensor","occ sensor"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Run","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Run Request","cmd"
"CMU/SCSC Gates/Sixth Floor/VAV Room 6001 Office/Schedule","cmd"
